Owner,Account Name,Account Id,Control Name,Control ID,Severity,Failure Count,Sample Resources
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudFormation - Stack Policy,21447,High,10,"StackSet-AWSControlTowerBP-BASELINE-SERVICE-LINKED-ROLE-0e1f483c-9c3d-49ca-93ae-2279dfcca169, StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-600ae2b5-802c-480c-ac8a-e60d57753214, StackSet-AWSCloudFormationStackSet-ExecutionRole-1c031ccc-b81c-4d4b-8144-530667691964"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudFormation - Deletion Policy in Use,21445,High,9,"StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-600ae2b5-802c-480c-ac8a-e60d57753214, StackSet-AWSCloudFormationStackSet-ExecutionRole-1c031ccc-b81c-4d4b-8144-530667691964, StackSet-OptimizationDataRoleStack-35b3c9c1-f286-4a85-90b4-499842b0667e"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,SNS - Cross Account Access,21372,High,8,"arn:aws:sns:us-west-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-northeast-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-east-1:761018860399:aws-controltower-SecurityNotifications"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,SNS - Enable Server-Side Encryption for Topics,21373,High,8,"arn:aws:sns:us-west-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-northeast-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-east-1:761018860399:aws-controltower-SecurityNotifications"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,IAM - Enabled Access Analyzer,16022,High,7,"ap-northeast-3, ap-northeast-1, ap-northeast-2"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,EBS - Enabled Encryption At Rest (Region-wise),16031,High,7,"ap-northeast-3, ap-northeast-1, ap-northeast-2"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to Telnet Port (ACL),21301,High,3,"acl-0d53b6afbca7a00c1, acl-03eeb042006aeed87, acl-0eedae5cd14492ce0"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to Administration Ports (ACL),16071,High,3,"acl-0d53b6afbca7a00c1, acl-03eeb042006aeed87, acl-0eedae5cd14492ce0"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to RDP Port (ACL),21302,High,3,"acl-0d53b6afbca7a00c1, acl-03eeb042006aeed87, acl-0eedae5cd14492ce0"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to SSH Port (ACL),21300,High,3,"acl-0d53b6afbca7a00c1, acl-03eeb042006aeed87, acl-0eedae5cd14492ce0"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Enabled MFA Delete,16027,High,2,"cf-templates-1adlzabn3lz55-ap-southeast-1 - Versioning, barron-colddata-traillog - Versioning"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Enable Encryption at Rest for Environment Variables using Customer Master Keys,21344,High,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,EC2 - Transit Gateways should not automatically accept VPC attachment requests,21319,High,2,"tgw-0da90d70ca7bdb019, tgw-095b684b7989e77a1"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - VPC Access for AWS Lambda Functions,21354,High,2,aws-controltower-NotificationForwarder:$LATEST
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Enabled Versioning,16026,High,1,barron-colddata-traillog
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Lambda - Using An IAM Role For More Than One Lambda Function,21353,High,1,aws-controltower-ForwardSnsNotificationRole
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,IAM - No Full Administrative Privileges Policies,16018,High,1,AdministratorAccess (ANPAIWMBCKSKIEE64ZLYK)
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Enabled Trail Bucket Logging,16050,High,1,barron-colddata-traillog
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Running CloudTrail Integration with CloudWatch,16045,High,1,barron-colddataTrail
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,EC2 - Subnets should not automatically assign public IP addresses,21309,Medium,14,"subnet-01030029f14ee1d06, subnet-0eb8e5c627e1cfce3, subnet-0305708ec3afb0d43"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudFormation - Enabled Termination Protection,21292,Medium,10,"StackSet-AWSControlTowerBP-BASELINE-SERVICE-LINKED-ROLE-0e1f483c-9c3d-49ca-93ae-2279dfcca169, StackSet-AWSControlTowerBP-BASELINE-CLOUDWATCH-600ae2b5-802c-480c-ac8a-e60d57753214, StackSet-AWSCloudFormationStackSet-ExecutionRole-1c031ccc-b81c-4d4b-8144-530667691964"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Inspector 2 - Not Enabled,37136,Medium,9,761018860399
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Glue - Data Catalog Connection Passwords Encryption,27136,Medium,8,"eu-west-2, ap-east-1, eu-west-1"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,SNS - Encrypted at Rest Using AWS KMS,21121,Medium,8,"arn:aws:sns:us-west-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-northeast-2:761018860399:aws-controltower-SecurityNotifications, arn:aws:sns:ap-east-1:761018860399:aws-controltower-SecurityNotifications"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Glue - Encrypted with CMK,37203,Medium,8,"eu-west-2, ap-east-1, eu-west-1"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Glue - Data Catalog Objects Encrypted,27135,Medium,8,"eu-west-2, ap-east-1, eu-west-1"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,SecurityHub - Enabled,37236,Medium,7,"ap-northeast-3, ap-northeast-1, ap-northeast-2"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Data Lifecycle Manager - Automate EBS Snapshot,37194,Medium,7,"ap-northeast-3, ap-northeast-1, ap-northeast-2"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Config - Referencing Missing S3 Bucket,37210,Medium,6,aws-controltower-BaselineConfigDeliveryChannel
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,KMS - Cross Account Access,21452,Medium,6,"a67d21ac-6733-4ecb-8af7-7f7c701615ae, 0c75077a-ec06-410a-9e9c-bb1549ec07b9, 76a98106-6594-47b6-975b-a1dc05bc409d"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,CloudWatch Event - Events In Use,37146,Medium,4,"ap-northeast-3, ap-northeast-1, eu-west-1"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Default Security Groups Restrict All,16073,Medium,4,"default (sg-02c9f648001f00c3f), default (sg-01c5e98f462a71d5a), default (sg-03c321e62b873c54b)"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to Any Port (Security Groups),21329,Medium,4,"default (sg-02c9f648001f00c3f), default (sg-01c5e98f462a71d5a), default (sg-03c321e62b873c54b)"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Logging - Enabled VPCs Flow Logs,16053,Medium,3,"vpc-0f86c9029a331f5c4, vpc-07dfcbff24e219aef, vpc-0450f3fb10a32da6e"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Networking - Disallowed Public Access to Any Port (ACL),21328,Medium,3,"acl-0d53b6afbca7a00c1, acl-03eeb042006aeed87, acl-0eedae5cd14492ce0"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Cloud Account - Identity Provider,27000,Medium,3,"aws-controltower-AdministratorExecutionRole, AWSCloudFormationStackSetExecutionRole, sysdig-secure-onboarding-lihnqv"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,Network without Traffic Logging (AWS),27165,Medium,3,"vpc-0f86c9029a331f5c4, vpc-07dfcbff24e219aef, vpc-0450f3fb10a32da6e"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,SNS - Appropriate Subscribers,21371,Medium,3,"arn:aws:sns:eu-north-1:761018860399:aws-controltower-SecurityNotifications:d1feccdd-b68d-4ed9-bea7-456ffe9026a0, arn:aws:sns:us-east-1:761018860399:aws-controltower-SecurityNotifications:b3514986-a6a4-4383-b6de-3556c1628331, arn:aws:sns:ap-east-1:761018860399:aws-controltower-SecurityNotifications:7670776c-fba4-411a-92ab-a8bf9cfc1cfb"
Anna Barron (Assoc Prof),AWS-LKC-barronlab,761018860399,S3 - Buckets Encrypted with Customer-Provided CMKs,21499,Medium,2,"barron-colddata-traillog, barron-colddata"
